Customer Id,Recency,Frequency,Monetary
1,792,1,499.9500122
2,136,4,1819.73003386
3,229,5,3537.68009381
4,380,4,1719.63002967
5,457,3,1274.75002288
6,646,4,3259.51002486
7,220,7,5569.48010644
8,126,8,3763.5000419
9,140,5,3229.68005555
10,307,2,1264.79001226
11,371,4,2429.6500397600003
12,255,8,6009.3501015
13,193,4,3185.62006955
14,158,7,2414.72003184
15,420,1,239.98000718
16,123,6,2349.77002714
17,284,5,4259.6601105
18,405,6,3519.6000672
19,464,8,4355.62007918
20,291,4,1589.77005
21,295,4,2836.69007108
22,387,5,2744.6800461
23,501,6,4141.38005816
24,684,4,2769.47002792
25,641,2,929.8700104
26,190,5,3209.80008706
27,301,4,2065.66000368
28,296,4,2159.76002128
29,354,2,1329.8700409
30,580,2,1105.89002425
31,527,6,3774.55005634
32,326,5,3409.51004217
33,779,2,1229.87003708
34,132,7,2989.68006526
35,402,4,2313.82004548
36,167,2,1389.8800507
37,176,3,1329.76002124
38,332,6,2649.74005516
39,234,5,2934.70006185
40,151,7,5253.62011732
41,136,4,2931.65006833
42,247,7,3289.6600418
43,215,2,1159.8300247
44,322,6,2989.740078
45,217,5,3329.7400742
46,352,5,3887.62009048
47,621,1,679.9600067
48,171,4,3509.6200561
49,628,3,1359.78001404
50,250,4,2009.65002061
51,268,7,4513.43006532
52,137,4,2119.77005
53,476,6,4689.48011408
54,156,5,3109.68006908
55,129,6,4763.4000778399995
56,157,5,2529.7000656
57,456,5,2159.70003898
58,209,8,6615.16012588
59,386,6,1869.75003816
60,425,3,1859.57000352
61,598,3,1714.7500457800002
62,312,4,1749.83004386
63,148,4,1829.79003904
64,620,3,1404.8700409
65,194,6,3975.62008294
66,490,5,3809.54009254
67,224,2,1887.7700501
68,535,3,1609.79002758
69,137,5,1651.8100358
70,133,5,3309.49005496
71,565,7,2987.73005297
72,191,6,5274.53013244
73,700,4,2719.730053
74,159,5,3349.56004332
75,198,4,2549.77004248
76,424,5,3329.65005492
77,221,7,3142.72007947
78,527,1,309.9600067
79,364,5,3674.6800881199997
80,224,4,2259.7800408
81,450,1,431.97001077
82,415,4,2674.54004105
83,374,4,2879.60004225
84,124,4,2929.74006276
85,400,4,1929.70002758
86,407,5,1469.87001414
87,848,3,2474.69005972
88,207,5,2499.68004992
89,532,4,1299.76001356
90,305,5,3094.81006628
91,360,4,3343.7300643999997
92,249,6,2787.5500222
93,417,5,2069.84006124
94,149,5,2789.59005734
95,301,7,3282.63007923
96,132,4,2789.72006998
97,247,4,2514.80005276
98,158,7,4379.48007564
99,157,6,2839.70006566
100,186,6,4104.57009122
101,365,4,2079.79004668
102,280,4,3319.59004208
103,337,4,3179.71007164
104,1125,1,599.960022
105,592,4,1379.92003636
106,381,3,1409.8400268
107,362,4,2009.63005824
108,210,5,2289.70005028
109,298,7,4259.6100769
110,349,3,2639.7000427
111,249,3,1639.78003314
112,244,7,3184.68007287
113,188,5,1658.75003056
114,636,4,2904.73007013
115,240,1,1079.9200286999999
116,915,2,324.9499969
117,372,2,429.90000918
118,272,5,2699.51001742
119,741,7,3439.7400743
120,368,4,2079.58004768
121,572,2,809.85001758
122,636,5,1996.75004966
123,251,8,6389.32015618
124,151,5,3399.74007046
